snapshot_id,webcam_id,label_source,label_value,target_label,split,image_path_or_url,phase,captured_at,rating_count,source
73526,7687669,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7687669/1771825128960.jpg,sunrise,2026-02-23 05:38:49.298782,0,webcam
73527,368,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1771825549312.jpg,sunset,2026-02-23 05:45:49.666648,0,webcam
73533,536,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/536/1771826688871.jpg,sunrise,2026-02-23 06:04:49.385588,0,webcam
73534,400,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/400/1771826690141.jpg,sunset,2026-02-23 06:04:50.434338,0,webcam
66424,861454,llm_only,0.45,0.45,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/861454/1764613302716.jpg,sunrise,2025-12-01 18:21:43.291936,1,webcam
70105,10623636,llm_only,0.35,0.35,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10623636/1771086769323.jpg,sunset,2026-02-14 16:32:49.714970,0,webcam
73535,368,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1771827409040.jpg,sunset,2026-02-23 06:16:49.544340,0,webcam
75029,11459,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11459/1772201088984.jpg,sunset,2026-02-27 14:04:49.406533,0,webcam
75032,4831942,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4831942/1772201809521.jpg,sunset,2026-02-27 14:16:49.894651,0,webcam
75034,12182,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12182/1772201989631.jpg,sunset,2026-02-27 14:19:50.356216,0,webcam
75036,13476704,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13476704/1772202409296.jpg,sunset,2026-02-27 14:26:49.590415,0,webcam
75214,5006,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5006/1772244409147.jpg,sunset,2026-02-28 02:06:49.483893,0,webcam
75216,368,llm_only,0.55,0.55,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1772245009377.jpg,sunset,2026-02-28 02:16:49.716514,0,webcam
75218,12451,llm_only,0.78,0.78,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12451/1772245728983.jpg,sunset,2026-02-28 02:28:49.297106,0,webcam
75219,400,llm_only,0.45,0.45,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/400/1772245849280.jpg,sunset,2026-02-28 02:30:49.584507,0,webcam
75983,562859,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/562859/1772430948732.jpg,sunrise,2026-03-02 05:55:49.034346,1,webcam
73540,13476704,llm_only,0.65,0.65,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13476704/1771829329059.jpg,sunrise,2026-02-23 06:48:49.666391,0,webcam
73544,13476704,llm_only,0.72,0.72,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13476704/1771831309039.jpg,sunrise,2026-02-23 07:21:49.449419,0,webcam
73606,1854,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1854/1771843669075.jpg,sunset,2026-02-23 10:47:49.377212,0,webcam
73608,4027,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4027/1771843729180.jpg,sunset,2026-02-23 10:48:49.515743,0,webcam
73610,4738,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4738/1771844570129.jpg,sunset,2026-02-23 11:02:50.460261,0,webcam
73611,7323,llm_only,0.45,0.45,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7323/1771844749488.jpg,sunset,2026-02-23 11:05:49.816422,0,webcam
66439,2923203,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2923203/1764613368438.jpg,sunrise,2025-12-01 18:22:48.926178,1,webcam
66441,2942835,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2942835/1764613378552.jpg,sunrise,2025-12-01 18:22:59.058849,1,webcam
73554,12568517,llm_only,0.35,0.35,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12568517/1771833949167.jpg,sunset,2026-02-23 08:05:49.661241,0,webcam
66654,8351922,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8351922/1770256805547.jpg,sunrise,2026-02-05 02:00:05.833819,1,webcam
73560,544,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/544/1771835029367.jpg,sunrise,2026-02-23 08:23:49.677709,0,webcam
66460,3343667,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3343667/1764618803097.jpg,sunrise,2025-12-01 19:53:23.556689,1,webcam
66644,10115999,llm_only,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10115999/1770242158803.jpg,sunrise,2026-02-04 21:55:59.073524,1,webcam
66645,10167060,llm_only,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10167060/1770242160862.jpg,sunrise,2026-02-04 21:56:01.129421,1,webcam
