record_id,source_table,webcam_id,image_url,llm_quality,llm_is_sunset,llm_is_sunrise,llm_confidence,llm_has_clouds,llm_color_palette,llm_obstruction,llm_time_of_day,llm_sky_coverage,llm_rating_explanation,llm_model,llm_provider,rated_at,human_calculated_rating,human_rating_count
66500,webcam,3153444,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3153444/1764618967009.jpg,0.0,False,False,0.95,False,monochrome black and gray,fog,night,full,This is a nighttime foggy scene with artificial street lighting and no visible sunset or sunrise colors.,claude-sonnet-4-5,anthropic,2026-05-07T06:35:55.652321+00:00,1.00,1
66501,webcam,3759756,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3759756/1764618970072.jpg,0.0,False,False,0.95,False,"grayscale, monochrome",rain on lens,night,none,No sunset or sunrise visible; image shows nighttime conditions with severe water droplets/condensation obscuring the lens completely.,claude-sonnet-4-5,anthropic,2026-05-07T06:36:00.649286+00:00,1.00,1
66525,webcam,103,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/103/1770144681900.jpg,0.0,False,False,1.0,False,gray and white,no camera feed available,unclear,none,"No live camera feed is available, showing only an error message with no sky or sunset visible.",claude-sonnet-4-5,anthropic,2026-05-07T06:36:05.393256+00:00,1.00,1
66546,webcam,2946548,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2946548/1770149249053.jpg,0.45,True,False,0.75,False,soft orange and peach fading to pale blue,,golden_hour,mostly,"Gentle sunset colors visible on the horizon with minimal drama, mostly clear sky with subtle warm tones.",claude-sonnet-4-5,anthropic,2026-05-07T06:36:10.418615+00:00,4.00,1
66547,webcam,5137840,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5137840/1770149256826.jpg,0.55,True,False,0.75,True,"Soft pink, peach, and blue-gray tones with dark storm clouds",,twilight,full,"Moderate sunset colors with dramatic storm clouds but limited vibrant oranges and reds, creating a moody twilight scene.",claude-sonnet-4-5,anthropic,2026-05-07T06:36:16.044932+00:00,3.00,1
66548,webcam,9728932,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9728932/1770149258868.jpg,0.0,False,False,0.95,False,"black, dark gray",,night,full,Completely dark night scene with no visible sunset or sunrise colors.,claude-sonnet-4-5,anthropic,2026-05-07T06:36:20.718242+00:00,1.00,1
66549,webcam,4589070,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4589070/1770149261198.jpg,0.0,False,False,0.95,False,"gray, monochromatic, overcast",fog,unclear,full,"Heavy fog obscures all details with no visible sun, color, or sunset/sunrise characteristics.",claude-sonnet-4-5,anthropic,2026-05-07T06:36:27.061942+00:00,1.00,1
66550,webcam,10163488,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10163488/1770149265352.jpg,0.35,True,False,0.7,True,Dark gray and muted orange with dim twilight tones,,twilight,partial,"Weak twilight colors with mostly overcast gray clouds and minimal orange glow near the horizon, obscured by terrain and lighting.",claude-sonnet-4-5,anthropic,2026-05-07T06:36:32.632531+00:00,1.00,1
66551,webcam,10162590,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10162590/1770149267234.jpg,0.45,True,True,0.7,False,bright white light with gray tones,,golden_hour,partial,Bright sun visible on horizon with moderate glow but minimal color due to overexposure and grayscale rendering.,claude-sonnet-4-5,anthropic,2026-05-07T06:36:38.375564+00:00,1.00,1
66552,webcam,10495330,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10495330/1770149280494.jpg,0.45,True,True,0.75,False,"pale blue sky with bright white-yellow sun, minimal warm tones",,golden_hour,full,"Clear sunrise with bright sun visible but minimal color development in the sky, mostly pale blue with limited warm hues.",claude-sonnet-4-5,anthropic,2026-05-07T06:36:44.684660+00:00,5.00,1
66553,webcam,3798295,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3798295/1770149292027.jpg,0.55,True,False,0.75,False,Deep teal blue transitioning to warm orange and peach near horizon,,twilight,full,Moderate color gradient from teal to orange with clear sky but lacking dramatic clouds or intense saturation.,claude-sonnet-4-5,anthropic,2026-05-07T06:36:50.287597+00:00,4.00,1
66554,webcam,301,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/301/1770171566906.jpg,0.45,True,False,0.75,False,pale orange and blue-gray gradient,,twilight,partial,"Subtle twilight colors with a faint orange glow on the horizon, but limited dramatic color or cloud features.",claude-sonnet-4-5,anthropic,2026-05-07T06:36:55.674334+00:00,1.00,1
66555,webcam,400,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/400/1770171577975.jpg,0.45,True,False,0.7,False,"pale yellow, soft orange, muted beige",rain on lens,golden_hour,partial,"Modest golden hour glow with pale colors, but heavily obscured by water droplets or condensation on the lens reducing clarity and vibrancy.",claude-sonnet-4-5,anthropic,2026-05-07T06:37:01.247523+00:00,3.00,1
66556,webcam,368,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1770171579450.jpg,0.72,True,False,0.85,True,"Soft orange, pink, purple, and blue gradient",,twilight,full,Vivid pastel colors with layered clouds creating a beautiful gradient across the entire sky at sunset.,claude-sonnet-4-5,anthropic,2026-05-07T06:37:06.740948+00:00,4.00,1
66557,webcam,2923203,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2923203/1770171586296.jpg,0.72,True,False,0.85,False,warm golden orange and pink tones with blue-gray mountains,rain on lens,golden_hour,partial,"Golden hour light bathes the landscape in warm orange and pink hues with good color saturation, though water droplets on lens partially obstruct the view.",claude-sonnet-4-5,anthropic,2026-05-07T06:37:12.990039+00:00,1.00,1
66558,webcam,2922913,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2922913/1770171595543.jpg,0.65,True,True,0.75,False,"soft orange, peach, and pale blue gradient",,golden_hour,full,"Pleasant golden hour light with warm orange glow on buildings and soft peachy sky tones, though lacking dramatic clouds or intense colors.",claude-sonnet-4-5,anthropic,2026-05-07T06:37:18.431235+00:00,2.00,1
66559,webcam,2924752,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2924752/1770171598889.jpg,0.0,False,False,0.95,False,"overcast gray, uniform dull sky",,day,full,"Completely overcast gray sky with no visible sun, color, or sunset/sunrise characteristics.",claude-sonnet-4-5,anthropic,2026-05-07T06:37:22.716022+00:00,1.00,1
66560,webcam,5649571,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5649571/1770171601141.jpg,0.35,True,False,0.75,False,pale orange and yellow gradient fading to blue-gray,,twilight,partial,Weak sunset with minimal color showing only a faint orange-yellow glow on the horizon with limited dramatic effect.,claude-sonnet-4-5,anthropic,2026-05-07T06:37:27.294682+00:00,1.00,1
66561,webcam,5713644,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5713644/1770171605165.jpg,0.0,False,False,0.95,True,overcast gray and white,,day,partial,"Completely overcast gray sky with no visible sun, warm colors, or sunset/sunrise characteristics.",claude-sonnet-4-5,anthropic,2026-05-07T06:37:33.179803+00:00,1.00,1
66562,webcam,8211030,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8211030/1770171608479.jpg,0.0,False,False,0.95,True,"gray, overcast, muted teal-blue",,day,full,"Overcast gray sky with no visible sun, warm colors, or golden/pink hues typical of sunrise or sunset.",claude-sonnet-4-5,anthropic,2026-05-07T06:37:38.447720+00:00,1.00,1
66563,webcam,333,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/333/1770171612791.jpg,0.45,True,True,0.75,False,pale orange and pink gradient with light blue sky,,golden_hour,partial,"Soft pastel colors visible on the horizon with minimal dramatic intensity, terrain occupies most of the frame limiting sky visibility.",claude-sonnet-4-5,anthropic,2026-05-07T06:37:45.451037+00:00,1.00,1
66564,webcam,536,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/536/1770171617152.jpg,0.35,True,False,0.75,True,"pale orange, gray, muted blue",,twilight,full,Weak twilight colors with mostly gray clouds and only subtle orange glow near the horizon.,claude-sonnet-4-5,anthropic,2026-05-07T06:37:51.080687+00:00,2.00,1
66565,webcam,21846,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/21846/1770171621166.jpg,0.25,True,True,0.7,False,"pale blue, soft pink-purple gradient",,blue_hour,full,"Very subtle blue hour coloring with minimal pink-purple tones in a mostly pale sky, likely early sunrise in snowy conditions.",claude-sonnet-4-5,anthropic,2026-05-07T06:37:56.611751+00:00,1.00,1
66566,webcam,12451,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12451/1770171627263.jpg,0.45,True,False,0.75,True,Soft orange and yellow gradient fading to gray-blue,,twilight,full,Modest sunset colors with some warm tones near the horizon but mostly subdued gray-blue sky with limited dramatic impact.,claude-sonnet-4-5,anthropic,2026-05-07T06:38:01.420523+00:00,4.00,1
66567,webcam,3375326,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3375326/1770177196250.jpg,0.45,True,False,0.75,False,pale yellow and white with muted orange horizon,,golden_hour,full,"Moderate sunset with pale golden light and minimal color intensity, lacking dramatic clouds or vivid hues.",claude-sonnet-4-5,anthropic,2026-05-07T06:38:07.129560+00:00,4.00,1
