record_id,source_table,webcam_id,image_url,llm_quality,llm_is_sunset,llm_is_sunrise,llm_confidence,llm_has_clouds,llm_color_palette,llm_obstruction,llm_time_of_day,llm_sky_coverage,llm_rating_explanation,llm_model,llm_provider,rated_at,human_calculated_rating,human_rating_count
1,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51832138503.jpg,0.78,True,False,0.85,True,"golden yellow, orange, pink, and blue-gray",,golden_hour,mostly,Vivid golden and orange hues illuminate the horizon with dramatic clouds creating depth and contrast against the blue sky.,claude-sonnet-4-5,anthropic,2026-05-12T18:32:18.147428+00:00,,0
2,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/27057177915.jpg,0.88,True,False,0.92,True,"Deep purple, vibrant orange, golden yellow, and pink",building,twilight,mostly,"Spectacular dramatic clouds illuminated with intense orange and golden hues against a rich purple sky, creating a stunning twilight scene.",claude-sonnet-4-5,anthropic,2026-05-12T18:32:28.881549+00:00,,0
3,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/49019355636.jpg,0.78,True,False,0.85,False,"deep orange, golden yellow, amber",,golden_hour,full,"Vivid golden-orange sky with brilliant sun reflection across the water creating a dramatic light path, though lacking cloud detail for added texture.",claude-sonnet-4-5,anthropic,2026-05-12T18:32:38.136365+00:00,,0
4,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/50834560288.jpg,0.92,True,False,0.85,True,"Deep blues, vibrant oranges, yellows, and pink-tinged clouds",,golden_hour,full,"Spectacular sunset with dramatic storm clouds, vivid orange and yellow sun, perfect mirror reflection on calm water, and rich color gradients throughout the sky.",claude-sonnet-4-5,anthropic,2026-05-12T18:32:46.597223+00:00,,0
5,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/48963736442.jpg,0.88,True,False,0.92,True,"Deep pink, coral, purple, and navy blue",,twilight,full,"Spectacular twilight scene with dramatic clouds illuminated in vibrant coral and pink hues across the entire sky, creating stunning contrast with the darkening water and silhouetted vessels.",claude-sonnet-4-5,anthropic,2026-05-12T18:32:55.917254+00:00,,0
6,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/30496033774.jpg,0.72,True,False,0.85,False,warm golden orange with amber gradients,,golden_hour,full,"Clear golden sunset over water with vivid warm orange tones and good sun definition, though lacking dramatic clouds for higher impact.",claude-sonnet-4-5,anthropic,2026-05-12T18:33:04.972012+00:00,,0
7,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/53045023573.jpg,0.55,True,False,0.75,True,soft golden yellows with gray-blue clouds,,golden_hour,partial,"Moderate golden light breaking through overcast clouds with gentle warm tones reflected on the lake, but lacking vibrant colors.",claude-sonnet-4-5,anthropic,2026-05-12T18:33:14.654333+00:00,,0
8,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/31297602825.jpg,0.78,True,False,0.85,True,Deep golden orange and amber with warm yellow tones,,golden_hour,mostly,Rich golden-orange sunset with dramatic silhouetted seed heads creating artistic foreground interest and warm atmospheric glow.,claude-sonnet-4-5,anthropic,2026-05-12T18:33:23.856136+00:00,,0
9,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/29283733491.jpg,0.72,True,False,0.85,False,"golden yellow, amber, warm bronze tones",,golden_hour,full,"Strong golden light reflecting beautifully across the water with warm amber tones throughout the sky, though lacking dramatic cloud formations.",claude-sonnet-4-5,anthropic,2026-05-12T18:33:32.927396+00:00,,0
10,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/9827455686.jpg,0.88,True,False,0.85,True,"Deep orange, golden yellow, and dark crimson with silhouetted elements",,golden_hour,mostly,"Spectacular golden-orange sunset with dramatic reflections on water, rich color saturation, and beautiful silhouettes of waterfowl and reeds creating a stunning composition.",claude-sonnet-4-5,anthropic,2026-05-12T18:33:41.867928+00:00,,0
11,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/50370665232.jpg,0.82,True,False,0.85,True,"golden orange, amber, and gray with warm yellow highlights",,golden_hour,mostly,"Dramatic golden-orange sky with layered clouds reflecting beautifully on calm water, creating a rich warm atmosphere.",claude-sonnet-4-5,anthropic,2026-05-12T18:33:50.823742+00:00,,0
12,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51470398539.jpg,0.88,True,False,0.92,True,"vibrant orange, yellow, pink with purple-blue tones",,golden_hour,full,"Spectacular sunset with dramatic crepuscular rays, vivid orange and yellow clouds, and beautiful color gradients across the entire sky reflected in the ocean.",claude-sonnet-4-5,anthropic,2026-05-12T18:33:59.964998+00:00,,0
13,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/50268045418.jpg,0.88,True,False,0.85,True,"vibrant orange, yellow, gold with warm amber tones",,golden_hour,full,"Spectacular golden-orange sunset with dramatic clouds, brilliant sun reflection on water, and rich warm color gradients throughout the entire sky.",claude-sonnet-4-5,anthropic,2026-05-12T18:34:10.462585+00:00,,0
14,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/30278566326.jpg,0.72,True,False,0.85,True,"Orange, pink, and golden yellow with blue-gray upper sky",,golden_hour,full,Vivid orange and golden colors stretch across the horizon with dramatic cloud formations and beautiful reflections in the water.,claude-sonnet-4-5,anthropic,2026-05-12T18:34:20.808040+00:00,,0
15,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51789106552.jpg,0.0,False,False,1.0,False,overexposed white and yellow,,day,partial,"This is a heavily yellow-filtered photograph of a statue with no actual sunset or sunrise visible, just overexposed daylight sky.",claude-sonnet-4-5,anthropic,2026-05-12T18:34:29.641321+00:00,,0
16,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51741867762.jpg,0.88,True,False,0.92,True,"Deep orange, coral pink, purple-gray with golden highlights",,golden_hour,full,"Spectacular sunset with dramatic layered clouds in vivid orange and pink tones, perfectly silhouetting the sailboat against the glowing sun.",claude-sonnet-4-5,anthropic,2026-05-12T18:34:40.781299+00:00,,0
17,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/52363418593.jpg,0.88,True,False,0.92,True,"Deep orange, pink, coral, and purple with golden highlights",,golden_hour,full,"Spectacular sunset with vibrant orange and pink clouds, dramatic silhouetted sailboat, and rich color gradients across the entire sky.",claude-sonnet-4-5,anthropic,2026-05-12T18:34:49.172515+00:00,,0
18,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/48963228401.jpg,0.88,True,False,0.92,True,"Deep orange, golden yellow, pink, and purple gradient",,golden_hour,mostly,Spectacular gradient from deep orange to pink with dramatic palm framing and city lights below creating a stunning tropical sunset scene.,claude-sonnet-4-5,anthropic,2026-05-12T18:34:57.449803+00:00,,0
19,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/31089783762.jpg,0.45,True,False,0.75,True,soft pink and peach tones mixed with gray-blue storm clouds,,twilight,full,Muted pastel colors visible through heavy cloud cover with limited dramatic impact due to storm clouds dominating the scene.,claude-sonnet-4-5,anthropic,2026-05-12T18:35:06.783906+00:00,,0
20,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/28850167894.jpg,0.78,True,False,0.85,True,warm golden orange transitioning to soft blue-gray,,golden_hour,full,Vivid golden-orange sunset with dramatic rock formations silhouetted against colorful sky and smooth water reflections.,claude-sonnet-4-5,anthropic,2026-05-12T18:35:24.050924+00:00,,0
