record_id,source_table,image_url,error
66500,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3153444/1764618967009.jpg,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: The image was specified using the image/jpeg media type, but the image appears to be a image/png image'}, 'request_id': 'req_011CaksCNLxQDdebGg7Bs2TZ'}"
66501,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3759756/1764618970072.jpg,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: The image was specified using the image/jpeg media type, but the image appears to be a image/png image'}, 'request_id': 'req_011CaksD2AYBJMMKd5z8ARpf'}"
66525,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/103/1770144681900.jpg,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: The image was specified using the image/jpeg media type, but the image appears to be a image/png image'}, 'request_id': 'req_011CaksKmzSuMiWtgFkFjPZg'}"
66546,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2946548/1770149249053.jpg,"could not receive data from server: Operation timed out
SSL SYSCALL error: Operation timed out
"
66547,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5137840/1770149256826.jpg,connection already closed
66548,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9728932/1770149258868.jpg,connection already closed
66549,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4589070/1770149261198.jpg,connection already closed
66550,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10163488/1770149265352.jpg,connection already closed
66551,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10162590/1770149267234.jpg,connection already closed
66552,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10495330/1770149280494.jpg,connection already closed
66553,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3798295/1770149292027.jpg,connection already closed
66554,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/301/1770171566906.jpg,connection already closed
66555,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/400/1770171577975.jpg,connection already closed
66556,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1770171579450.jpg,connection already closed
66557,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2923203/1770171586296.jpg,connection already closed
66558,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2922913/1770171595543.jpg,connection already closed
66559,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2924752/1770171598889.jpg,connection already closed
66560,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5649571/1770171601141.jpg,connection already closed
66561,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5713644/1770171605165.jpg,connection already closed
