record_id,source_table,webcam_id,image_url,llm_quality,llm_is_sunset,llm_confidence,llm_has_clouds,llm_color_palette,llm_obstruction,llm_model,llm_provider,rated_at,human_calculated_rating,human_rating_count
66407,webcam,609,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/609/1764120749296.jpg,0.55,True,0.85,False,soft orange and peach gradient fading to pale blue,,claude-sonnet-4-5,anthropic,2026-05-04T07:27:23.082533+00:00,5.00,1
66408,webcam,2921340,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921340/1764120755559.jpg,0.35,True,0.75,False,"pale yellow, soft peach, muted gray-blue",,claude-sonnet-4-5,anthropic,2026-05-04T07:27:25.737844+00:00,1.00,1
66409,webcam,3923636,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3923636/1764120761605.jpg,0.0,False,0.95,False,overcast gray-white,,claude-sonnet-4-5,anthropic,2026-05-04T07:27:28.422318+00:00,1.00,1
66410,webcam,898745,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/898745/1764120765296.jpg,0.35,True,0.75,False,soft pink and lavender with muted purple tones,fog,claude-sonnet-4-5,anthropic,2026-05-04T07:27:32.300565+00:00,1.00,1
66411,webcam,1544596,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1544596/1764120772360.jpg,0.35,True,0.8,False,"pale pink, soft peach, light blue",,claude-sonnet-4-5,anthropic,2026-05-04T07:27:35.471323+00:00,4.00,1
66412,webcam,6717,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6717/1764120775844.jpg,0.0,False,0.95,False,gray overcast sky,,claude-sonnet-4-5,anthropic,2026-05-04T07:27:38.015242+00:00,1.00,1
66413,webcam,2921329,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921329/1764120784465.jpg,0.45,True,0.8,True,"pale yellow, soft orange, light gray clouds",,claude-sonnet-4-5,anthropic,2026-05-04T07:27:41.680455+00:00,5.00,1
66414,webcam,2922874,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2922874/1764120790918.jpg,0.55,True,0.85,False,soft orange and pink gradient transitioning to blue-gray,,claude-sonnet-4-5,anthropic,2026-05-04T07:27:44.482767+00:00,2.00,1
66415,webcam,6104,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6104/1764120793860.jpg,0.0,False,1.0,False,overcast gray-white,,claude-sonnet-4-5,anthropic,2026-05-04T07:27:47.733784+00:00,1.00,1
66416,webcam,7695,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7695/1764120802066.jpg,0.0,False,0.95,False,overcast gray and white,,claude-sonnet-4-5,anthropic,2026-05-04T07:27:50.291107+00:00,1.00,1
66417,webcam,2923657,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2923657/1764120805671.jpg,0.0,False,0.95,False,"dark gray to black, nighttime",,claude-sonnet-4-5,anthropic,2026-05-04T07:27:52.928183+00:00,1.00,1
66418,webcam,2922913,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2922913/1764120813343.jpg,0.0,False,0.95,False,"dark blue-gray, night sky",,claude-sonnet-4-5,anthropic,2026-05-04T07:27:57.217062+00:00,1.00,1
66419,webcam,3512997,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3512997/1764120850901.jpg,0.55,True,0.85,False,"Orange, yellow, and pale blue gradient with purple-pink tones",,claude-sonnet-4-5,anthropic,2026-05-04T07:28:00.294601+00:00,5.00,1
66420,webcam,2921342,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921342/1764120856936.jpg,0.45,True,0.8,True,"pale orange, soft pink, muted gray-blue",,claude-sonnet-4-5,anthropic,2026-05-04T07:28:03.670387+00:00,5.00,1
66421,webcam,11592,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11592/1764121410941.jpg,0.45,True,0.75,False,"soft purple, pink, and pale yellow gradient",,claude-sonnet-4-5,anthropic,2026-05-04T07:28:07.141224+00:00,5.00,1
66422,webcam,368,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1764121434429.jpg,0.65,True,0.85,False,Soft orange and peach gradient fading to blue-gray,,claude-sonnet-4-5,anthropic,2026-05-04T07:28:10.188297+00:00,5.00,1
66423,webcam,3798295,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3798295/1764613292183.jpg,0.72,True,0.85,True,Turquoise blue transitioning to warm orange and peach near horizon,,claude-sonnet-4-5,anthropic,2026-05-04T07:28:13.360513+00:00,3.00,1
66424,webcam,861454,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/861454/1764613302716.jpg,0.45,True,0.8,True,"pale pink, soft orange, light blue-gray",,claude-sonnet-4-5,anthropic,2026-05-04T07:28:17.356389+00:00,4.00,1
66425,webcam,2921351,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921351/1764613309738.jpg,0.0,False,0.95,False,"pale blue-gray, white, overcast",,claude-sonnet-4-5,anthropic,2026-05-04T07:28:19.983509+00:00,3.00,1
66426,webcam,2921344,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921344/1764613313393.jpg,0.0,False,0.95,False,gray and white overcast,,claude-sonnet-4-5,anthropic,2026-05-04T07:28:25.740500+00:00,1.00,1
66427,webcam,4380968,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4380968/1764613316532.jpg,0.0,False,0.3,False,teal and gray with horizontal scan lines,severe digital corruption or signal interference,claude-sonnet-4-5,anthropic,2026-05-04T07:28:29.822989+00:00,1.00,1
66428,webcam,2977319,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2977319/1764613319567.jpg,0.0,False,0.95,False,"uniform gray, overcast, no color variation",fog,claude-sonnet-4-5,anthropic,2026-05-04T07:28:32.538971+00:00,1.00,1
