snapshot_id,webcam_id,label_source,label_value,target_label,split,image_path_or_url,phase,captured_at,rating_count,source,llm_model
119498,5649571,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5649571/1785510963755.jpg,sunset,2026-07-31 15:16:04.165465+00:00,0,webcam,
119501,93,gold,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/93/1785512765365.jpg,sunset,2026-07-31 15:46:05.717915+00:00,0,webcam,
119510,29051458,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29051458/1785514570295.jpg,sunset,2026-07-31 16:16:11.068853+00:00,0,webcam,
119511,27075159,gold,1.0,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/27075159/1785514570978.jpg,sunset,2026-07-31 16:16:11.340956+00:00,0,webcam,
119512,29051458,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29051458/1785515465605.jpg,sunset,2026-07-31 16:31:06.311077+00:00,0,webcam,
119514,27075159,gold,1.0,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/27075159/1785515465984.jpg,sunset,2026-07-31 16:31:06.601925+00:00,0,webcam,
119516,331,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/331/1785515468860.jpg,sunset,2026-07-31 16:31:09.157225+00:00,0,webcam,
119521,13233845,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13233845/1785517308237.jpg,sunset,2026-07-31 17:01:49.661394+00:00,0,webcam,
119527,29039291,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29039291/1785520921438.jpg,sunset,2026-07-31 18:02:01.812930+00:00,0,webcam,
119530,15569,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15569/1785521766724.jpg,sunset,2026-07-31 18:16:07.767070+00:00,0,webcam,
119532,29039291,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29039291/1785522721855.jpg,sunset,2026-07-31 18:32:02.292286+00:00,0,webcam,
119534,18487,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/18487/1785523571275.jpg,sunset,2026-07-31 18:46:11.730306+00:00,0,webcam,
119537,387,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/387/1785524479672.jpg,sunset,2026-07-31 19:01:20.672767+00:00,0,webcam,
119538,18487,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/18487/1785524480569.jpg,sunset,2026-07-31 19:01:20.912511+00:00,0,webcam,
119541,18487,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/18487/1785525368249.jpg,sunset,2026-07-31 19:16:08.774169+00:00,0,webcam,
119547,29038768,gold,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29038768/1785528130750.jpg,sunset,2026-07-31 20:02:11.167806+00:00,0,webcam,
119548,449,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/449/1785528132117.jpg,sunset,2026-07-31 20:02:12.441711+00:00,0,webcam,
119553,29038768,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29038768/1785528979055.jpg,sunset,2026-07-31 20:16:19.714227+00:00,0,webcam,
119554,772735,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/772735/1785529857035.jpg,sunset,2026-07-31 20:30:57.968319+00:00,0,webcam,
119559,2937958,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2937958/1785530782003.jpg,sunset,2026-07-31 20:46:22.367637+00:00,0,webcam,
119560,29163873,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29163873/1785531714597.jpg,sunset,2026-07-31 21:01:55.018305+00:00,0,webcam,
119562,931,gold,1.0,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/931/1785531736241.jpg,sunset,2026-07-31 21:02:17.100109+00:00,0,webcam,
119563,2937958,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2937958/1785531736957.jpg,sunset,2026-07-31 21:02:17.390809+00:00,0,webcam,
119564,3459,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3459/1785531739217.jpg,sunset,2026-07-31 21:02:19.959448+00:00,0,webcam,
119569,4842,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4842/1785533456906.jpg,sunset,2026-07-31 21:30:57.285067+00:00,0,webcam,
119572,3203023,gold,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3203023/1785533471862.jpg,sunset,2026-07-31 21:31:12.369014+00:00,0,webcam,
119573,19678,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/19678/1785533477027.jpg,sunset,2026-07-31 21:31:17.335810+00:00,0,webcam,
119574,931,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/931/1785533480724.jpg,sunset,2026-07-31 21:31:21.059343+00:00,0,webcam,
119575,3170470,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3170470/1785533483429.jpg,sunset,2026-07-31 21:31:24.148725+00:00,0,webcam,
119578,13588772,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13588772/1785534361350.jpg,sunset,2026-07-31 21:46:02.186118+00:00,0,webcam,
119577,4842,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4842/1785534358756.jpg,sunset,2026-07-31 21:45:59.147462+00:00,0,webcam,
119582,931,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/931/1785534371251.jpg,sunset,2026-07-31 21:46:11.861338+00:00,0,webcam,
119583,4842,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4842/1785535316773.jpg,sunset,2026-07-31 22:01:57.539346+00:00,0,webcam,
119590,29160763,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29160763/1785536167794.jpg,sunset,2026-07-31 22:16:08.491929+00:00,0,webcam,
119593,19678,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/19678/1785536170089.jpg,sunset,2026-07-31 22:16:10.407475+00:00,0,webcam,
119594,2412333,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2412333/1785536170549.jpg,sunset,2026-07-31 22:16:11.196036+00:00,0,webcam,
119598,363,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/363/1785537068053.jpg,sunset,2026-07-31 22:31:08.542337+00:00,0,webcam,
119599,29160763,gold,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29160763/1785537072121.jpg,sunset,2026-07-31 22:31:12.502463+00:00,0,webcam,
119602,363,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/363/1785537964319.jpg,sunset,2026-07-31 22:46:04.747205+00:00,0,webcam,
119603,19678,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/19678/1785537964517.jpg,sunset,2026-07-31 22:46:04.918787+00:00,0,webcam,
119606,5134693,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5134693/1785538921110.jpg,sunset,2026-07-31 23:02:01.405040+00:00,0,webcam,
119607,363,gold,1.0,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/363/1785538922315.jpg,sunset,2026-07-31 23:02:03.005083+00:00,0,webcam,
119608,19678,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/19678/1785538922927.jpg,sunset,2026-07-31 23:02:03.234077+00:00,0,webcam,
119609,6373,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6373/1785538925632.jpg,sunset,2026-07-31 23:02:06.160865+00:00,0,webcam,
119616,4752639,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4752639/1785542516619.jpg,sunset,2026-08-01 00:01:57.862957+00:00,0,webcam,
119617,10149176,gold,0.0,0.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10149176/1785542523223.jpg,sunset,2026-08-01 00:02:03.589033+00:00,0,webcam,
119622,16041375,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/16041375/1785545167209.jpg,sunset,2026-08-01 00:46:08.091792+00:00,0,webcam,
119644,12586,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12586/1785551457853.jpg,sunset,2026-08-01 02:30:58.339835+00:00,0,webcam,
119643,5961510,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5961510/1785551457492.jpg,sunset,2026-08-01 02:30:58.339316+00:00,0,webcam,
119650,2921377,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921377/1785551479915.jpg,sunset,2026-08-01 02:31:20.258199+00:00,0,webcam,
119651,12586,gold,0.75,0.75,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12586/1785552339642.jpg,sunset,2026-08-01 02:45:40.366339+00:00,0,webcam,
119652,5961510,gold,1.0,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5961510/1785552339924.jpg,sunset,2026-08-01 02:45:40.401195+00:00,0,webcam,
119654,28326341,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/28326341/1785552360586.jpg,sunset,2026-08-01 02:46:00.907155+00:00,0,webcam,
119656,2921377,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921377/1785552361481.jpg,sunset,2026-08-01 02:46:01.781332+00:00,0,webcam,
119658,28326341,gold,0.25,0.25,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/28326341/1785552365480.jpg,sunset,2026-08-01 02:46:05.917542+00:00,0,webcam,
119659,2921377,gold,0.5,0.5,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921377/1785552366386.jpg,sunset,2026-08-01 02:46:06.679648+00:00,0,webcam,
119660,12586,gold,1.0,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12586/1785553272100.jpg,sunset,2026-08-01 03:01:12.834071+00:00,0,webcam,
