snapshot_id,webcam_id,label_source,label_value,target_label,split,image_path_or_url,phase,captured_at,rating_count
69446,3924674,manual_only,1.00,1.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3924674/1770955021482.jpg,sunset,2026-02-13 03:57:01.846066,1
67013,8190097,manual_only,1.00,1.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8190097/1770437038812.jpg,sunrise,2026-02-07 04:03:59.137622,1
67345,11150763,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11150763/1770680861971.jpg,sunset,2026-02-09 23:47:42.252273,1
66419,3512997,manual_only,5.00,5.0,test,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3512997/1764120850901.jpg,sunrise,2025-11-26 01:34:11.518102,1
67202,3656741,manual_only,5.00,5.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3656741/1770619351966.jpg,sunrise,2026-02-09 06:42:32.503444,1
68815,171415,manual_only,4.00,4.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/171415/1770845890525.jpg,sunrise,2026-02-11 21:38:10.933372,1
66427,4380968,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4380968/1764613316532.jpg,sunrise,2025-12-01 18:21:57.050890,1
66966,10264687,manual_only,3.00,3.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10264687/1770427493132.jpg,sunset,2026-02-07 01:24:53.376839,1
66883,5137840,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5137840/1770410985796.jpg,sunrise,2026-02-06 20:49:46.117095,1
66828,3236,manual_only,5.00,5.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1770401274637.jpg,sunset,2026-02-06 18:07:54.921287,1
67370,8686246,manual_only,5.00,5.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8686246/1770680961285.jpg,sunset,2026-02-09 23:49:21.540275,1
67056,10488190,manual_only,1.00,1.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10488190/1770437197088.jpg,sunset,2026-02-07 04:06:37.358341,1
66834,10491789,manual_only,2.00,2.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10491789/1770402855195.jpg,sunset,2026-02-06 18:34:15.627237,1
67391,10623636,manual_only,4.00,4.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10623636/1770700322154.jpg,sunrise,2026-02-10 05:12:02.667988,1
67373,160,manual_only,5.00,5.0,test,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1770680989380.jpg,sunset,2026-02-09 23:49:49.684018,1
66860,4171194,manual_only,2.00,2.0,test,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4171194/1770405726394.jpg,sunset,2026-02-06 19:22:06.710099,1
68811,8616196,manual_only,4.00,4.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8616196/1770845753024.jpg,sunset,2026-02-11 21:35:53.435107,1
66938,10622511,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10622511/1770427417362.jpg,sunset,2026-02-07 01:23:37.644669,1
67043,2926257,manual_only,4.00,4.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2926257/1770437134425.jpg,sunrise,2026-02-07 04:05:34.718561,1
69301,9417527,manual_only,5.00,5.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9417527/1770933449145.jpg,sunrise,2026-02-12 21:57:29.579439,1
66625,12586,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12586/1770242077043.jpg,sunrise,2026-02-04 21:54:37.349981,1
66771,10114200,manual_only,1.00,1.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10114200/1770395756635.jpg,sunset,2026-02-06 16:35:56.890103,1
67070,9473462,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9473462/1770599254662.jpg,sunrise,2026-02-09 01:07:34.925784,1
66437,2977624,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2977624/1764613361684.jpg,sunrise,2025-12-01 18:22:42.198781,1
66457,4756,manual_only,4.00,4.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4756/1764613455694.jpg,sunset,2025-12-01 18:24:16.275890,1
67377,6373,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6373/1770684562522.jpg,sunset,2026-02-10 00:49:22.990094,1
67346,11003592,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11003592/1770680864017.jpg,sunset,2026-02-09 23:47:44.262327,1
67341,3088970,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3088970/1770680845524.jpg,sunset,2026-02-09 23:47:25.778433,1
66726,14458,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/14458/1770395464970.jpg,sunset,2026-02-06 16:31:05.225264,1
66827,4443,manual_only,5.00,5.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4443/1770401266663.jpg,sunset,2026-02-06 18:07:46.951549,1
67337,7084,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7084/1770680833117.jpg,sunset,2026-02-09 23:47:13.362329,1
67105,12431,manual_only,1.00,1.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12431/1770607560110.jpg,sunrise,2026-02-09 03:26:00.430160,1
66712,7737728,manual_only,2.00,2.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7737728/1770395384943.jpg,sunrise,2026-02-06 16:29:45.355427,1
67257,1372,manual_only,1.00,1.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1372/1770680525717.jpg,sunrise,2026-02-09 23:42:06.011620,1
67038,3375326,manual_only,4.00,4.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3375326/1770437109891.jpg,sunrise,2026-02-07 04:05:10.214004,1
67173,2926257,manual_only,4.00,4.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2926257/1770609933216.jpg,sunrise,2026-02-09 04:05:33.482599,1
66889,21846,manual_only,4.00,4.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/21846/1770411012048.jpg,sunset,2026-02-06 20:50:12.340748,1
66655,12451,manual_only,5.00,5.0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12451/1770256816301.jpg,sunset,2026-02-05 02:00:16.587607,1
66859,4756,manual_only,2.00,2.0,val,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4756/1770405723642.jpg,sunset,2026-02-06 19:22:03.901906,1
