snapshot_id,webcam_id,image_path_or_url,target_label,source,llm_quality,rating,quality_label
88144,160,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1773557371966.jpg,1,webcam,0.45,2,0.25
69536,11742298,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11742298/1770971209172.jpg,1,webcam,0.55,2,0.25
106929,17708138,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/17708138/1782037863392.jpg,1,webcam,0.3,2,0.25
89987,312,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/312/1773988472536.jpg,1,webcam,0.45,2,0.25
90128,17580012,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/17580012/1774023215920.jpg,1,webcam,0.35,2,0.25
84853,8204930,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8204930/1773490893306.jpg,1,webcam,0.65,3,0.5
93539,7688307,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7688307/1774716454220.jpg,1,webcam,0.45,2,0.25
82185,16557666,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/16557666/1773453924217.jpg,1,webcam,0.45,3,0.5
92302,17458813,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/17458813/1774482092762.jpg,1,webcam,0.0,1,0.0
113883,28999873,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/28999873/1783977375873.jpg,1,webcam,0.4,2,0.25
102774,28774047,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/28774047/1781383534403.jpg,1,webcam,0.35,3,0.5
95822,15293,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15293/1775185412551.jpg,1,webcam,0.55,3,0.5
119082,28470202,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/28470202/1785406560596.jpg,1,webcam,0.15,3,0.5
66884,2951173,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2951173/1770410989589.jpg,1,webcam,0.45,3,0.5
111613,3147501,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3147501/1783335722984.jpg,1,webcam,0.65,4,0.75
